----------------------------------------------------
 Time                  Az      El  Range Footp  Alt 
 2024/07/21 19:31:10 340.65   6.40  2705  6152   821
 2024/07/21 19:31:15 340.79   6.03  2737  6152   821
 2024/07/21 19:31:20 340.93   5.66  2770  6152   821
 2024/07/21 19:31:25 341.06   5.30  2803  6152   821
 2024/07/21 19:31:30 341.19   4.95  2835  6152   821
 2024/07/21 19:31:35 341.32   4.60  2868  6152   821
 2024/07/21 19:31:40 341.44   4.25  2901  6152   821
 2024/07/21 19:31:45 341.56   3.91  2934  6152   821
 2024/07/21 19:31:50 341.68   3.58  2966  6152   821
 2024/07/21 19:31:55 341.80   3.24  2999  6152   821
 2024/07/21 19:32:00 341.92   2.92  3032  6152   821
 2024/07/21 19:32:05 342.03   2.59  3065  6152   821
 2024/07/21 19:32:10 342.14   2.27  3098  6152   821
 2024/07/21 19:32:15 342.25   1.95  3131  6152   821
 2024/07/21 19:32:20 342.36   1.64  3164  6152   821
 2024/07/21 19:32:25 342.47   1.33  3197  6152   821
 2024/07/21 19:32:30 342.57   1.02  3230  6152   821
 2024/07/21 19:32:35 342.68   0.72  3262  6152   821
 2024/07/21 19:32:40 342.78   0.42  3295  6152   821
 2024/07/21 19:32:45 342.88   0.12  3328  6152   821
